epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,1331.1,0.82409,0.4492,1.67393,0.95335,0.99219,0.99166,0.89499,0.87487,0.39061,1.66395,0.000317,0.000317,0.000317
104,1343.73,0.80533,0.45737,1.66399,0.98131,0.97656,0.9928,0.89982,0.87332,0.38514,1.65122,0.0003005,0.0003005,0.0003005
105,1356.22,0.80357,0.43882,1.66164,0.96952,0.99388,0.99293,0.89403,0.8973,0.38215,1.65299,0.000284,0.000284,0.000284
106,1368.41,0.80108,0.43433,1.65952,0.96964,0.998,0.99206,0.89285,0.87393,0.40211,1.65063,0.0002675,0.0002675,0.0002675
107,1381.07,0.79587,0.43262,1.66264,0.98425,0.97639,0.99317,0.89252,0.8926,0.38591,1.65767,0.000251,0.000251,0.000251
108,1393.82,0.80478,0.42774,1.65075,0.97507,0.99219,0.99284,0.89423,0.87187,0.38073,1.64898,0.0002345,0.0002345,0.0002345
109,1406.32,0.80131,0.44028,1.65621,0.96963,0.99767,0.99295,0.89593,0.89054,0.3836,1.65651,0.000218,0.000218,0.000218
110,1418.73,0.76953,0.42545,1.65368,0.98079,0.98438,0.99301,0.8961,0.89234,0.38011,1.66366,0.0002015,0.0002015,0.0002015
111,1432.67,0.681,0.34451,1.59714,0.96944,0.99119,0.9922,0.88536,0.90846,0.39099,1.66395,0.000185,0.000185,0.000185
112,1445.4,0.67207,0.34131,1.58392,0.9841,0.99219,0.99324,0.88862,0.90697,0.37967,1.66645,0.0001685,0.0001685,0.0001685
113,1458.21,0.63906,0.32376,1.58957,0.96205,0.99031,0.99196,0.89205,0.89606,0.38883,1.66257,0.000152,0.000152,0.000152
114,1470.81,0.64432,0.33504,1.57681,0.98312,0.99219,0.99343,0.8907,0.90294,0.37639,1.67081,0.0001355,0.0001355,0.0001355
115,1483.33,0.63508,0.31833,1.59351,0.99062,0.98438,0.99312,0.89324,0.8874,0.37103,1.6592,0.000119,0.000119,0.000119
116,1495.86,0.61301,0.30943,1.59423,0.98459,0.99847,0.9931,0.89376,0.89401,0.37181,1.66449,0.0001025,0.0001025,0.0001025
117,1508.54,0.61009,0.31781,1.58205,0.98423,1,0.99325,0.89641,0.89174,0.38867,1.66164,8.6e-05,8.6e-05,8.6e-05
118,1521.32,0.5951,0.31043,1.58357,0.9819,1,0.99267,0.89808,0.89018,0.39581,1.6612,6.95e-05,6.95e-05,6.95e-05
119,1533.91,0.6025,0.3064,1.5892,0.97687,0.98972,0.99267,0.89928,0.89561,0.38312,1.66079,5.3e-05,5.3e-05,5.3e-05
120,1546.39,0.60657,0.31634,1.58224,0.98434,0.98199,0.99255,0.89683,0.89075,0.38591,1.65674,3.65e-05,3.65e-05,3.65e-05
