epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
87,2891.59,0.11456,0.22413,0.02863,0.97341,0.98438,0.99416,0.89011,0.13563,0.2803,0.03377,0.000581,0.000581,0.000581
88,2924.54,0.12961,0.22645,0.02983,0.99081,0.98438,0.99484,0.9043,0.13199,0.24628,0.03334,0.0005645,0.0005645,0.0005645
89,2958.05,0.11907,0.21141,0.02621,0.99218,0.99143,0.99492,0.90068,0.13428,0.23237,0.03343,0.000548,0.000548,0.000548
90,2991.62,0.11291,0.21138,0.02662,0.96966,0.99866,0.99398,0.89755,0.13827,0.28007,0.03479,0.0005315,0.0005315,0.0005315
91,3024.73,0.11102,0.2079,0.02639,0.98228,1,0.99406,0.9009,0.12927,0.26888,0.03445,0.000515,0.000515,0.000515
92,3058.11,0.1146,0.20729,0.02836,0.98433,1,0.99414,0.89141,0.13682,0.29708,0.03485,0.0004985,0.0004985,0.0004985
93,3091.13,0.11241,0.20544,0.02747,0.98404,0.99219,0.99194,0.89157,0.13349,0.28054,0.03862,0.000482,0.000482,0.000482
94,3124.34,0.11305,0.21079,0.02608,0.99177,0.99219,0.99445,0.8994,0.1341,0.28587,0.03362,0.0004655,0.0004655,0.0004655
95,3157.4,0.11248,0.2064,0.02528,0.99205,0.97473,0.99424,0.89911,0.14243,0.2761,0.04145,0.000449,0.000449,0.000449
96,3190.71,0.11444,0.21297,0.02605,0.98357,1,0.99414,0.89752,0.13574,0.27903,0.0386,0.0004325,0.0004325,0.0004325
97,3223.73,0.11017,0.20593,0.02557,0.99212,0.98389,0.9943,0.9009,0.13174,0.27539,0.03344,0.000416,0.000416,0.000416
98,3256.94,0.10104,0.1995,0.02403,0.99216,0.99219,0.99422,0.90128,0.13622,0.27594,0.03427,0.0003995,0.0003995,0.0003995
99,3289.88,0.09713,0.19499,0.02376,0.98789,0.99219,0.99445,0.89748,0.13254,0.2828,0.03873,0.000383,0.000383,0.000383
100,3322.77,0.11146,0.20623,0.02622,0.98435,0.98281,0.99389,0.89528,0.13335,0.29096,0.03313,0.0003665,0.0003665,0.0003665
101,3355.78,0.10228,0.19549,0.02394,0.99217,0.98999,0.99469,0.90165,0.13372,0.27665,0.03249,0.00035,0.00035,0.00035
102,3389.15,0.10459,0.19837,0.02324,0.98866,1,0.99477,0.8958,0.13116,0.26795,0.03251,0.0003335,0.0003335,0.0003335
103,3422.12,0.10293,0.19586,0.02408,0.99203,0.99219,0.99453,0.90223,0.13174,0.27655,0.03297,0.000317,0.000317,0.000317
104,3455.04,0.10809,0.1946,0.02519,0.99218,0.99171,0.99438,0.9012,0.1338,0.28946,0.03348,0.0003005,0.0003005,0.0003005
105,3488.06,0.09977,0.19204,0.0238,0.99034,0.98438,0.994,0.89856,0.13411,0.30752,0.0334,0.000284,0.000284,0.000284
106,3521.32,0.09988,0.18875,0.02331,0.99013,0.99219,0.99477,0.90189,0.13013,0.29503,0.03391,0.0002675,0.0002675,0.0002675
107,3554.47,0.09769,0.18245,0.02335,0.98968,0.99219,0.99445,0.90818,0.13137,0.29315,0.03256,0.000251,0.000251,0.000251
108,3587.62,0.09825,0.19138,0.02342,0.99225,1,0.9943,0.90339,0.12716,0.28142,0.03236,0.0002345,0.0002345,0.0002345
109,3620.82,0.09846,0.18131,0.0243,0.99015,1,0.9943,0.90172,0.13136,0.29881,0.03307,0.000218,0.000218,0.000218
110,3653.91,0.0938,0.17881,0.02116,0.9891,0.99219,0.99445,0.90268,0.1276,0.2877,0.03183,0.0002015,0.0002015,0.0002015
111,3688.52,0.06641,0.13948,0.01829,0.98209,1,0.99437,0.9054,0.12894,0.29628,0.03285,0.000185,0.000185,0.000185
112,3721.77,0.07085,0.14527,0.01849,0.99128,0.98438,0.99437,0.89865,0.12823,0.28366,0.03219,0.0001685,0.0001685,0.0001685
113,3754.71,0.06915,0.14133,0.01688,0.98365,1,0.99445,0.9057,0.12266,0.27815,0.03142,0.000152,0.000152,0.000152
114,3787.71,0.06675,0.14195,0.01717,0.99218,0.99132,0.99445,0.90004,0.1287,0.29231,0.03224,0.0001355,0.0001355,0.0001355
115,3820.57,0.06473,0.13749,0.01692,0.99143,0.99219,0.99453,0.89971,0.12684,0.29358,0.03211,0.000119,0.000119,0.000119
116,3853.45,0.06201,0.12935,0.01603,0.99219,0.99191,0.99461,0.90077,0.12788,0.29277,0.03232,0.0001025,0.0001025,0.0001025
117,3886.25,0.06171,0.13225,0.01583,0.99146,0.99219,0.99469,0.90685,0.12654,0.29091,0.03167,8.6e-05,8.6e-05,8.6e-05
118,3919.38,0.06315,0.13318,0.01649,0.99161,0.99219,0.99469,0.89941,0.12819,0.28516,0.03221,6.95e-05,6.95e-05,6.95e-05
119,3952.34,0.05989,0.12945,0.01564,0.99094,0.99219,0.99469,0.89659,0.13019,0.29331,0.03207,5.3e-05,5.3e-05,5.3e-05
120,3985.53,0.05874,0.12512,0.01588,0.99025,0.99219,0.99461,0.90156,0.12953,0.30337,0.03228,3.65e-05,3.65e-05,3.65e-05
