epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,962.663,1.07782,0.64609,1.80582,0.94765,0.91259,0.95977,0.76807,1.205,0.70409,1.7423,0.000559062,0.000559062,0.000559062
69,976.228,1.06913,0.63148,1.81667,0.92478,0.93574,0.97402,0.80119,1.19965,0.63211,1.74445,0.00054875,0.00054875,0.00054875
70,989.722,1.08508,0.6433,1.81033,0.97692,0.84128,0.95333,0.78505,1.10721,0.63837,1.71849,0.000538438,0.000538438,0.000538438
71,1003.3,1.07726,0.62085,1.8046,0.86035,0.88872,0.95021,0.78013,1.18732,0.67108,1.76183,0.000528125,0.000528125,0.000528125
72,1016.63,1.04075,0.60811,1.80158,0.96043,0.84794,0.9632,0.80044,1.15406,0.63089,1.75851,0.000517813,0.000517813,0.000517813
73,1030.4,1.03274,0.61082,1.80789,0.87049,0.90455,0.9705,0.79836,1.13843,0.60804,1.75055,0.0005075,0.0005075,0.0005075
74,1044.18,1.02467,0.59372,1.77926,0.90588,0.91815,0.96392,0.79087,1.12929,0.5809,1.74032,0.000497188,0.000497188,0.000497188
75,1057.92,1.02795,0.58995,1.78489,0.88318,0.91426,0.96303,0.78149,1.14329,0.64249,1.74262,0.000486875,0.000486875,0.000486875
76,1071.79,1.02711,0.60281,1.78727,0.79967,0.92841,0.94939,0.7934,1.14579,0.6548,1.73026,0.000476562,0.000476562,0.000476562
77,1085.21,1.00641,0.58173,1.78901,0.92754,0.88574,0.9556,0.78699,1.14841,0.63771,1.73422,0.00046625,0.00046625,0.00046625
78,1098.75,1.00184,0.57211,1.77461,0.87621,0.92519,0.9651,0.79752,1.13598,0.62271,1.72659,0.000455937,0.000455937,0.000455937
79,1112.48,1.02778,0.58927,1.7906,0.89616,0.87605,0.95738,0.7692,1.1673,0.63395,1.74573,0.000445625,0.000445625,0.000445625
80,1126.12,0.97412,0.55034,1.7673,0.95481,0.90303,0.96407,0.79733,1.1486,0.62664,1.73481,0.000435312,0.000435312,0.000435312
81,1139.71,1.0236,0.56635,1.79009,0.92244,0.90385,0.96563,0.8079,1.16982,0.59739,1.74258,0.000425,0.000425,0.000425
82,1153.42,0.96449,0.56573,1.77565,0.93692,0.90583,0.96894,0.81078,1.08507,0.61938,1.72108,0.000414688,0.000414688,0.000414688
