epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,794.971,1.129,0.62993,1.7157,0.96847,0.96094,0.98952,0.86632,1.03921,0.46929,1.6999,0.0009935,0.0009935,0.0009935
63,807.165,1.09334,0.58502,1.72721,0.95379,0.96748,0.99003,0.86843,1.02429,0.45612,1.71239,0.000977,0.000977,0.000977
64,819.504,1.06968,0.58261,1.71038,0.9371,0.92969,0.97755,0.84558,1.07763,0.51371,1.72739,0.0009605,0.0009605,0.0009605
65,831.852,1.07229,0.59411,1.71151,0.91189,0.97032,0.98565,0.86616,0.98492,0.46716,1.69401,0.000944,0.000944,0.000944
66,844.088,1.06454,0.57827,1.70909,0.94507,0.94082,0.98494,0.85919,0.99687,0.4737,1.6921,0.0009275,0.0009275,0.0009275
67,856.429,1.08452,0.60576,1.72358,0.93214,0.9659,0.98412,0.86651,0.99304,0.47733,1.70648,0.000911,0.000911,0.000911
68,868.705,1.06783,0.58281,1.71369,0.96518,0.96094,0.98376,0.87235,0.97634,0.49164,1.69875,0.0008945,0.0008945,0.0008945
69,881.1,1.0571,0.58854,1.7114,0.98425,0.97624,0.98886,0.88129,0.96409,0.46359,1.67857,0.000878,0.000878,0.000878
70,893.191,1.01867,0.55985,1.70773,0.97625,0.96332,0.99066,0.87701,0.96984,0.44212,1.68939,0.0008615,0.0008615,0.0008615
71,905.331,1.02153,0.56038,1.70368,0.96572,0.96094,0.98999,0.86865,0.99772,0.46528,1.69747,0.000845,0.000845,0.000845
72,917.752,1.04242,0.5941,1.70134,0.98459,0.94531,0.98668,0.88792,0.96601,0.45616,1.67631,0.0008285,0.0008285,0.0008285
73,930.161,1.02376,0.56365,1.71472,0.96062,0.95296,0.98904,0.87168,0.9976,0.48614,1.69348,0.000812,0.000812,0.000812
74,942.489,1.01686,0.55791,1.70126,0.97337,0.95312,0.98894,0.8828,0.9437,0.45499,1.67095,0.0007955,0.0007955,0.0007955
75,954.524,1.03615,0.57658,1.69534,0.96794,0.94359,0.98966,0.86668,1.00726,0.48307,1.68976,0.000779,0.000779,0.000779
76,966.855,0.99774,0.54041,1.68964,0.9643,0.96094,0.98944,0.87181,0.99387,0.459,1.70223,0.0007625,0.0007625,0.0007625
77,979.238,1.01094,0.5391,1.70751,0.9587,0.95312,0.98865,0.87286,0.9931,0.45588,1.68645,0.000746,0.000746,0.000746
78,991.532,0.98925,0.543,1.71104,0.95339,0.96094,0.98809,0.87772,0.97253,0.45307,1.68189,0.0007295,0.0007295,0.0007295
